airline,airlineLabel,countryLabel,hub,hubLabel,iataCode
http://www.wikidata.org/entity/Q287846,Happy Air,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q6322722,K-Mile Air,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q1065088,Nok Air,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q1068909,Orient Thai Airlines,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q1340416,Phuket Air,Thailand,http://www.wikidata.org/entity/Q240694,Bandar Udara Internasional Phuket,
http://www.wikidata.org/entity/Q3704970,R Airlines,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q1631839,SGA Airlines,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q397079,SkyStar Airways,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q1331578,Solar Air,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q1148568,Thai AirAsia,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q16308074,Thai AirAsia X,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q188710,Thai Airways,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q15043926,Thai Lion Air,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q7709150,Thai Regional Airlines,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q1189248,Thai Smile,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q23899316,Thai Vietjet Air,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q889607,U Airlines,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q407572,Air Mekong,Vietnam,http://www.wikidata.org/entity/Q478595,Bandar Udara Internasional Tân Sơn Nhất,
http://www.wikidata.org/entity/Q51779763,Bamboo Airways,Vietnam,http://www.wikidata.org/entity/Q478595,Bandar Udara Internasional Tân Sơn Nhất,QH
http://www.wikidata.org/entity/Q603512,Indochina Airlines,Vietnam,http://www.wikidata.org/entity/Q478595,Bandar Udara Internasional Tân Sơn Nhất,
http://www.wikidata.org/entity/Q1156874,Pacific Airlines,Vietnam,http://www.wikidata.org/entity/Q478595,Bandar Udara Internasional Tân Sơn Nhất,BL
http://www.wikidata.org/entity/Q853878,VietJet Air,Vietnam,http://www.wikidata.org/entity/Q478595,Bandar Udara Internasional Tân Sơn Nhất,VJ
http://www.wikidata.org/entity/Q1370655,Vietnam Air Service Company,Vietnam,http://www.wikidata.org/entity/Q478595,Bandar Udara Internasional Tân Sơn Nhất,
http://www.wikidata.org/entity/Q174386,Vietnam Airlines,Vietnam,http://www.wikidata.org/entity/Q42840,Bandar Udara Internasional Long Thanh,VN
