"airline","airlineName","countryName","hub","hubName","iataCode","description"
"http://dbpedia.org/resource/Nusantara_Buana_Air","Nusantara Buana Air","Indonesia","http://dbpedia.org/resource/Sultan_Iskandar_Muda_International_Airport","Sultan Iskandar Muda International Airport",,
"http://dbpedia.org/resource/Pacific_Royale_Airways","Pacific Royale Airways","Indonesia","http://dbpedia.org/resource/Hang_Nadim_International_Airport","Hang Nadim International Airport","RY",
"http://dbpedia.org/resource/Pacific_Royale_Airways","Pacific Royale Airways","Indonesia","http://dbpedia.org/resource/Juanda_International_Airport","Juanda International Airport","RY",
"http://dbpedia.org/resource/Pacific_Royale_Airways","Pacific Royale Airways","Indonesia","http://dbpedia.org/resource/Sultan_Syarif_Kasim_II_International_Airport","Sultan Syarif Kasim II International Airport","RY",
"http://dbpedia.org/resource/Pelita_Air","Pelita Air","Indonesia","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","IP",
"http://dbpedia.org/resource/Penas_Air","Penas Air","Indonesia",,"-",,
"http://dbpedia.org/resource/Post_Ekspres_Prima","Post Ekspres Prima","Indonesia",,"-","-",
"http://dbpedia.org/resource/Premiair","Premiair","Indonesia",,"-","-",
"http://dbpedia.org/resource/Raindo_United_Services","Raindo United Services","Indonesia",,"-","R0",
"http://dbpedia.org/resource/Republic_Express_Airlines","Republic Express Airlines","Indonesia",,"-","RH",
"http://dbpedia.org/resource/SAM_Air","SAM Air","Indonesia",,"-",,
"http://dbpedia.org/resource/Sriwijaya_Air","Sriwijaya Air","Indonesia",,"-","SJ",
"http://dbpedia.org/resource/Super_Air_Jet","Super Air Jet","Indonesia",,"-","IU",
"http://dbpedia.org/resource/Susi_Air","Susi Air","Indonesia",,"-","SI",
"http://dbpedia.org/resource/TransNusa","TransNusa","Indonesia","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","8B",
"http://dbpedia.org/resource/TransNusa","TransNusa","Indonesia","http://dbpedia.org/resource/Guangzhou_Baiyun_International_Airport","Guangzhou Baiyun International Airport","8B",
"http://dbpedia.org/resource/Transwisata_Prima_Aviation","Transwisata Prima Aviation","Indonesia",,"-",,
"http://dbpedia.org/resource/Travira_Air","Travira Air","Indonesia","http://dbpedia.org/resource/Halim_Perdanakusuma_International_Airport","Halim Perdanakusuma International Airport","TR",
"http://dbpedia.org/resource/Trigana_Air","Trigana Air","Indonesia",,"-","IL",
"http://dbpedia.org/resource/Wings_Air","Wings Air","Indonesia",,"-","IW",
"http://dbpedia.org/resource/Lanexang_Airways_International","Lanexang Airways International","Laos","http://dbpedia.org/resource/Wattay_International_Airport","Wattay International Airport","5A",
"http://dbpedia.org/resource/Lao_Airlines","Lao Airlines","Laos",,"-","QV",
"http://dbpedia.org/resource/Lao_Skyway","Lao Skyway","Laos","http://dbpedia.org/resource/Wattay_International_Airport","Wattay International Airport","LK",
"http://dbpedia.org/resource/AirAsia","AirAsia","Malaysia",,"-","AK",
"http://dbpedia.org/resource/AirAsia_X","AirAsia X","Malaysia",,"-","D7",
"http://dbpedia.org/resource/Amal_(airline)","Amal (airline)","Malaysia","http://dbpedia.org/resource/Kuala_Lumpur_International_Airport","Kuala Lumpur International Airport","MH",
"http://dbpedia.org/resource/Batik_Air_Malaysia","Batik Air Malaysia","Malaysia","http://dbpedia.org/resource/Kuala_Lumpur_International_Airport","Kuala Lumpur International Airport","OD",
"http://dbpedia.org/resource/Berjaya_Air","Berjaya Air","Malaysia",,"-","J8",
"http://dbpedia.org/resource/Firefly_(airline)","Firefly (airline)","Malaysia","http://dbpedia.org/resource/Kota_Kinabalu_International_Airport","Kota Kinabalu International Airport","FY",
"http://dbpedia.org/resource/Hornbill_Skyways","Hornbill Skyways","Malaysia",,"-",,
"http://dbpedia.org/resource/Layang_Layang_Aerospace","Layang Layang Aerospace","Malaysia",,"-","LL",
"http://dbpedia.org/resource/MASkargo","MASkargo","Malaysia","http://dbpedia.org/resource/Kuala_Lumpur_International_Airport","Kuala Lumpur International Airport","MH",
"http://dbpedia.org/resource/MASwings","MASwings","Malaysia","http://dbpedia.org/resource/Kuching_International_Airport","Kuching International Airport","MY",
"http://dbpedia.org/resource/MHS_Aviation","MHS Aviation","Malaysia",,"-",,
"http://dbpedia.org/resource/Malaysia_Airlines","Malaysia Airlines","Malaysia","http://dbpedia.org/resource/Kota_Kinabalu_International_Airport","Kota Kinabalu International Airport","MH",
"http://dbpedia.org/resource/Malaysia_Airlines","Malaysia Airlines","Malaysia","http://dbpedia.org/resource/Kuala_Lumpur_International_Airport","Kuala Lumpur International Airport","MH",
"http://dbpedia.org/resource/Raya_Airways","Raya Airways","Malaysia",,"-","TH",
"http://dbpedia.org/resource/Sabah_Air","Sabah Air","Malaysia",,"-","SA",
"http://dbpedia.org/resource/Weststar_Aviation","Weststar Aviation","Malaysia","http://dbpedia.org/resource/Sultan_Abdul_Aziz_Shah_Airport","Sultan Abdul Aziz Shah Airport","-",
"http://dbpedia.org/resource/World_Cargo_Airlines","World Cargo Airlines","Malaysia","http://dbpedia.org/resource/Kuala_Lumpur_International_Airport","Kuala Lumpur International Airport","3G",
"http://dbpedia.org/resource/Air_Thanlwin","Air Thanlwin","Myanmar","http://dbpedia.org/resource/Mandalay_International_Airport","Mandalay International Airport","ST",
"http://dbpedia.org/resource/Air_Thanlwin","Air Thanlwin","Myanmar","http://dbpedia.org/resource/Yangon_International_Airport","Yangon International Airport","ST",
"http://dbpedia.org/resource/Mann_Yadanarpon_Airlines","Mann Yadanarpon Airlines","Myanmar",,"-","7Y",
"http://dbpedia.org/resource/Mingalar_Aviation_Services","Mingalar Aviation Services","Myanmar","http://dbpedia.org/resource/Mandalay_International_Airport","Mandalay International Airport","K7",
"http://dbpedia.org/resource/Mingalar_Aviation_Services","Mingalar Aviation Services","Myanmar","http://dbpedia.org/resource/Yangon_International_Airport","Yangon International Airport","K7",
"http://dbpedia.org/resource/Myanmar_Airways_International","Myanmar Airways International","Myanmar","http://dbpedia.org/resource/Mandalay_International_Airport","Mandalay International Airport","8M",
